Prime,Target
שרשרת,תליון
דלת,מפתן
משי,בד
סוס,אורווה
צוק,סלע
אביב,פריחה
עמית,שותף
מקש,מקלדת
כתר,מלכה
רגל,קרסול
משולש,מלבן
חורשה,עצים
כלה,הינומה
מזון,סעודה
תינוק,מיילדת
עדשה,משקפת
רהיט,ארון
שעון,מחוג
זרת,בוהן
גג,רעפים
ים,גל
אסיר,אזיקים
לפיד,נר
דבורה,דבש
קרקס,ליצן
לחם,קמח
סיגריה,מאפרה
רוח,סופה
כבשים,דיר
שלג,ברד
וריד,עורק
ספינה,תורן
עיפרון,קלמר
נחש,ארס
ריס,עפעף
פרה,רפת
מזגן,מאוורר
סבא,נכד
שופט,סנגור
מכרה,פחם
ביצה,חלמון
כף,מזלג
רובה,הדק
חומה,גדר
פיל,חדק
ארנק,כסף
ירח,כוכבים
גשם,מטרייה
שלד,עצמות